x;y;o;e;m;t;s;owner
565;57;87;74;95;45;77;
571;57;81;71;83;54;80;
574;57;99;79;75;50;86;папарацци
577;57;78;80;83;92;80;
578;57;76;12;77;12;88;
582;57;68;73;74;5;85;
584;57;82;19;9;8;83;
585;57;72;73;73;37;90;
586;57;92;4;83;87;80;
565;58;68;88;73;94;96;
567;58;92;71;94;62;86;
570;58;74;7;68;18;82;
571;58;68;76;71;27;77;Вован
572;58;82;6;96;67;93;
574;58;88;78;80;79;76;
576;58;83;79;65;45;79;
578;58;74;64;78;57;85;
579;58;91;71;72;69;85;
580;58;81;87;74;76;80;
583;58;72;24;75;56;83;
567;59;5;61;70;49;86;
568;59;91;15;76;85;81;
570;59;71;79;90;77;90;
571;59;72;9;81;15;78;
576;59;73;7;80;59;83;
579;59;82;78;78;64;81;
583;59;87;71;9;96;82;
586;59;75;72;90;65;99;
567;60;99;89;97;42;95;Вован
568;60;91;68;99;65;81;
569;60;38;20;67;86;83;
571;60;98;79;75;97;87;
574;60;72;77;73;12;78;
577;60;83;44;92;94;82;
578;60;87;75;31;98;78;
581;60;84;81;18;89;85;
582;60;95;95;71;63;84;
583;60;73;91;90;45;80;
584;60;86;84;70;42;89;водопьянов
567;61;95;5;72;6;72;
569;61;76;81;77;63;81;
576;61;70;71;97;25;90;Вован
578;61;95;78;18;96;74;
579;61;72;76;80;45;90;
582;61;94;3;84;11;83;
583;61;77;74;80;75;81;
568;62;8;87;73;84;97;
573;62;10;62;67;71;97;
577;62;22;92;76;42;86;
579;62;79;77;97;94;85;
581;62;71;79;70;29;90;
584;62;75;5;73;29;79;
587;62;0;0;0;0;80;
564;63;97;82;97;29;81;папарацци
565;63;95;89;73;64;81;
568;63;88;83;84;21;85;
577;63;0;0;0;0;70;
579;63;95;83;97;90;81;
582;63;76;70;98;58;89;
583;63;77;69;81;85;86;
586;63;82;65;73;24;96;Шёрс
600;63;72;73;69;59;92;
564;64;71;80;82;41;83;
576;64;73;69;85;51;99;папарацци
579;64;79;76;72;44;73;папарацци
583;64;96;15;84;27;81;
586;64;94;70;84;74;84;
599;64;82;78;84;60;91;
600;64;67;66;75;71;82;
564;65;9;74;94;75;75;
576;65;83;89;84;40;90;папарацци
599;65;85;16;81;72;95;
600;65;88;71;43;26;80;
577;66;97;70;70;84;82;
579;66;69;62;10;58;88;
581;66;86;80;99;72;87;
584;66;98;74;76;69;83;
585;66;71;87;17;40;81;
587;66;96;71;9;33;80;
594;66;78;13;57;17;90;
578;67;58;85;83;56;94;папарацци
585;67;81;71;85;71;82;
587;67;73;81;76;26;90;
592;67;56;74;73;15;89;
580;68;85;75;33;77;80;
581;68;81;61;73;16;95;
584;68;87;87;84;83;85;
590;68;77;69;90;74;83;
593;68;87;81;43;33;81;
576;69;88;80;77;53;99;папарацци
577;69;83;76;76;33;89;
583;69;83;69;7;19;97;Шёрс
585;69;70;63;72;53;94;
588;69;72;3;16;33;80;
592;69;91;16;87;75;86;
593;69;73;71;61;23;74;Шёрс
596;69;89;73;78;73;83;
597;69;15;91;79;45;98;водопьянов
578;70;77;24;75;27;89;
584;70;72;30;77;63;82;
587;70;79;76;92;93;85;
589;70;84;8;80;65;80;
592;70;72;77;82;93;94;
593;70;90;23;71;71;70;
594;70;96;89;91;69;86;
89;71;0;0;0;0;80;
580;71;76;77;11;99;95;
582;71;88;16;91;46;89;водопьянов
585;71;98;71;42;70;97;Шнапс
596;71;85;80;93;24;84;
556;72;0;0;0;0;90;
559;72;0;0;0;0;90;
562;72;73;80;78;69;90;
588;72;95;73;71;45;82;
593;72;95;81;68;16;80;
594;72;69;75;7;76;87;
595;72;79;81;72;27;84;
559;73;78;85;73;43;99;папарацци
561;73;72;41;33;83;87;
563;73;71;88;90;70;90;
569;73;27;82;76;60;90;
594;73;80;71;55;99;93;
595;73;74;86;85;44;82;
597;73;85;78;78;72;96;
567;74;73;63;91;85;93;
570;74;15;8;85;67;84;
584;74;0;0;0;0;90;
594;74;83;82;24;16;81;
596;74;77;65;91;63;84;
555;75;0;0;0;0;90;
560;75;79;9;75;54;89;
561;75;2;35;38;13;83;
562;75;79;74;96;55;77;
563;75;72;63;88;55;79;
564;75;94;74;67;83;81;
568;75;89;7;74;26;82;
569;75;6;7;73;70;92;
572;75;79;84;69;13;80;
573;75;84;22;82;23;82;
587;75;0;0;0;0;80;
589;75;14;80;80;53;84;
595;75;3;87;16;79;72;
596;75;88;75;16;65;73;
599;75;75;75;93;12;86;Фугас-3
555;76;0;0;0;0;80;
564;76;69;60;66;51;82;
566;76;70;10;84;94;84;
573;76;78;12;89;80;80;
596;76;73;76;14;8;81;
597;76;75;72;90;38;75;Вригль
559;77;71;69;83;17;86;
561;77;98;15;82;78;82;
565;77;72;91;66;67;98;
571;77;20;73;94;18;87;
573;77;82;69;82;83;80;
574;77;3;35;73;70;92;
577;77;77;84;79;6;81;
586;77;67;82;77;31;87;
587;77;81;66;84;46;95;Хром Хромыч
592;77;85;74;79;17;80;
594;77;73;98;91;44;70;
595;77;67;70;58;51;82;
559;78;76;73;52;93;81;
562;78;66;21;81;12;84;
565;78;41;71;85;47;94;
569;78;83;71;70;65;83;
570;78;75;70;92;69;88;
571;78;73;22;76;80;82;
573;78;75;7;91;17;93;
574;78;17;67;70;72;95;
575;78;71;97;78;72;88;Мигль
577;78;68;75;79;77;82;
578;78;6;85;92;68;81;
587;78;51;79;92;27;93;Фугас-3
593;78;89;94;72;30;80;Вригль
594;78;74;79;74;83;71;
596;78;65;80;72;6;77;
597;78;77;83;77;73;73;
565;79;72;37;68;38;81;
569;79;68;5;97;53;93;
570;79;74;83;78;82;81;
571;79;8;83;77;46;86;
572;79;78;96;74;69;80;
581;79;71;80;1;56;85;
583;79;61;79;73;39;93;Вригль
584;79;68;72;59;23;90;
585;79;89;81;94;63;83;
589;79;13;99;76;98;88;
591;79;2;69;8;67;80;
592;79;80;79;68;82;81;
593;79;87;79;91;30;83;Фугас-3
595;79;84;73;6;56;75;
596;79;29;76;64;57;75;
598;79;51;79;64;32;83;
555;80;76;81;88;27;90;
560;80;14;89;19;35;81;
561;80;4;86;97;8;81;
563;80;43;5;75;37;87;
565;80;1;83;84;12;84;
567;80;1;84;91;59;21;
571;80;75;20;91;33;75;
573;80;71;93;77;87;87;
574;80;84;63;85;68;81;
576;80;84;90;67;70;78;
577;80;77;80;34;69;75;
578;80;37;77;84;23;82;
583;80;76;83;49;36;82;
584;80;18;71;36;87;92;
586;80;92;91;73;86;85;
588;80;76;78;55;64;86;
591;80;77;74;10;72;82;
592;80;75;74;75;44;72;Хром Хромыч
594;80;77;80;78;31;74;
596;80;85;86;3;18;77;Фугас-3
554;81;74;74;76;73;91;
558;81;81;83;81;31;88;
563;81;70;79;80;86;98;
564;81;69;71;76;10;99;
567;81;78;72;87;67;84;
568;81;78;17;99;45;85;
573;81;72;88;81;53;99;
574;81;42;81;78;94;75;
583;81;64;78;83;29;82;
585;81;67;65;69;44;97;Хром Хромыч
586;81;38;95;69;63;85;
588;81;74;72;62;51;81;
589;81;77;79;13;62;91;Хром Хромыч
590;81;68;80;80;29;86;
591;81;91;68;89;44;78;
592;81;71;81;79;75;73;
593;81;72;87;78;51;88;Хром Хромыч
594;81;71;90;38;50;89;
595;81;69;67;76;14;75;Фугас-3
601;81;69;73;62;87;82;
557;82;70;37;83;17;92;
558;82;0;0;0;0;80;
560;82;85;65;87;39;83;
566;82;75;90;86;14;91;
568;82;90;91;94;27;90;
571;82;92;80;80;20;93;
575;82;17;74;79;81;76;
577;82;86;75;93;93;82;
582;82;73;65;82;24;85;
587;82;70;85;84;51;89;
588;82;78;85;1;46;81;
591;82;86;99;73;69;74;
593;82;36;95;75;81;81;
594;82;71;79;65;6;75;
596;82;73;81;74;87;73;
597;82;81;78;77;30;80;
599;82;78;96;71;47;84;Вригль
559;83;88;83;95;12;88;
560;83;87;75;78;21;85;
566;83;49;76;76;79;82;
575;83;70;20;78;4;81;
579;83;77;91;10;76;80;Мигль
585;83;43;77;80;75;82;
586;83;93;86;80;18;92;Вригль
588;83;83;82;80;57;94;Хром Хромыч
589;83;73;67;80;35;99;Хром Хромыч
591;83;75;70;4;16;83;
593;83;0;0;0;0;0;
596;83;15;92;93;75;91;пачкуля
599;83;35;78;90;7;80;Фугас-3
600;83;76;84;75;88;83;
602;83;0;0;0;0;80;
560;84;85;73;74;70;96;Шнапс
564;84;71;70;77;54;89;
565;84;58;30;98;37;81;
568;84;11;73;97;20;84;
575;84;17;16;74;29;71;
576;84;74;74;79;61;77;Шнапс
578;84;80;79;78;56;83;
581;84;72;74;73;29;90;Вригль
587;84;84;86;7;10;87;
588;84;83;78;90;37;80;Хром Хромыч
589;84;76;74;16;83;95;
597;84;98;83;79;35;86;Шнапс
554;85;0;0;0;0;90;
565;85;7;23;84;42;98;Шнапс
571;85;70;71;71;25;87;
582;85;73;74;91;35;84;Вригль
584;85;0;0;0;0;70;
585;85;91;63;1;46;81;
586;85;1;95;16;48;80;
588;85;38;93;74;75;84;
589;85;77;86;67;17;86;Вригль
591;85;2;89;72;48;83;
558;86;80;81;77;62;95;
560;86;78;88;80;15;85;
568;86;87;75;97;42;75;
572;86;76;82;83;3;94;
573;86;83;69;95;16;70;
576;86;60;53;3;5;89;
577;86;0;0;0;0;70;
586;86;71;72;69;33;74;Вригль
587;86;77;67;56;49;78;
557;87;18;71;69;50;82;
567;87;79;87;92;84;77;
575;87;68;77;79;81;77;Мигль
578;87;0;0;0;0;0;
579;87;0;0;0;0;70;
580;87;0;0;0;0;0;
583;87;89;79;9;81;88;
586;87;78;78;84;98;70;
587;87;0;0;0;0;70;
589;87;83;62;14;51;88;
594;87;76;72;94;34;97;Circus
562;88;72;92;98;65;90;пачкуля
564;88;76;64;24;49;84;
568;88;62;33;67;12;83;
572;88;91;81;81;61;85;Шнапс
574;88;80;15;72;14;71;
575;88;81;79;91;46;81;
577;88;77;84;76;9;82;
578;88;90;70;12;94;86;
579;88;79;75;86;67;89;Мигль
587;88;0;0;0;0;10;
590;88;70;72;81;52;71;
591;88;74;74;77;87;96;Мигль
593;88;11;94;1;86;95;
595;88;71;70;3;38;82;
563;89;86;68;90;38;82;
567;89;76;73;93;12;77;
570;89;23;85;81;30;87;
572;89;5;91;85;79;96;
578;89;23;83;63;2;82;
579;89;54;81;77;70;75;
584;89;5;61;80;63;87;
586;89;83;84;17;41;73;
588;89;57;77;81;51;96;Хром Хромыч
592;89;86;65;11;93;91;
594;89;29;84;16;59;81;
569;90;3;97;38;42;80;
570;90;67;68;89;86;95;Мигль
571;90;67;75;76;5;72;
573;90;80;91;75;14;97;Вригль
576;90;81;87;78;43;86;
578;90;76;95;74;81;96;Мигль
586;90;74;81;91;53;94;Хром Хромыч
592;90;0;0;0;0;0;
595;90;82;84;54;71;88;
558;91;75;23;85;63;99;
563;91;87;72;45;22;82;
570;91;40;19;86;24;87;
574;91;45;88;70;50;84;
577;91;77;89;68;22;86;
578;91;84;73;73;9;88;
583;91;31;73;87;46;81;
586;91;87;96;42;46;81;Вригль
589;91;83;94;8;7;80;
593;91;74;86;23;62;84;
595;91;69;82;76;99;64;
597;91;93;73;92;46;83;
378;92;77;77;80;77;95;
383;92;0;0;0;0;90;
549;92;0;0;0;0;70;
579;92;30;86;79;63;72;
581;92;0;0;0;0;0;
583;92;73;79;69;98;99;Мигль
585;92;79;77;90;94;98;пачкуля
586;92;4;92;71;81;82;
587;92;77;76;84;87;81;
596;92;52;87;69;70;90;
598;92;72;78;63;63;79;
599;92;83;73;29;97;89;
600;92;79;81;84;19;95;
558;93;92;50;74;31;98;
561;93;15;78;83;47;91;
565;93;86;65;80;7;96;свистулькин
573;93;46;87;93;4;83;свистулькин
574;93;0;0;0;0;70;
579;93;70;96;16;66;87;Мигль
580;93;85;88;84;70;99;Мигль
584;93;46;84;8;19;84;
594;93;3;97;79;33;92;
595;93;75;82;80;70;88;
562;94;78;80;73;6;95;свистулькин
570;94;73;84;79;34;96;свистулькин
572;94;84;18;85;20;97;
573;94;76;68;96;58;83;
574;94;87;78;51;78;80;Patnic
576;94;84;74;85;85;84;Patnic
580;94;79;91;40;67;72;
585;94;16;88;86;65;85;
388;95;0;0;0;0;90;
566;95;96;86;80;30;80;свистулькин
568;95;71;13;80;16;85;
571;95;73;99;75;27;85;
572;95;23;68;70;54;91;
576;95;88;89;33;20;81;
377;96;76;80;1;6;94;
560;96;9;89;89;33;99;свистулькин
569;96;23;79;85;81;86;
571;96;71;86;86;9;98;свистулькин
572;96;73;71;86;88;91;Patnic
573;96;72;25;87;14;82;
574;96;87;84;67;33;91;
587;96;75;87;31;92;87;
375;97;56;98;67;58;92;
381;97;71;4;18;4;96;
553;97;46;18;80;95;90;Нерг
559;97;75;7;73;25;95;
565;97;77;72;77;89;81;Patnic
576;97;70;81;93;71;82;Patnic
582;97;90;73;11;60;72;Берендеи
586;97;97;84;2;23;78;
588;97;8;68;78;80;76;
386;98;93;76;17;90;96;
389;98;82;68;71;72;92;
553;98;78;57;72;89;91;Нерг
555;98;0;0;0;0;70;
561;98;9;89;84;78;82;
565;98;68;75;71;76;74;Patnic
566;98;79;48;87;21;82;свистулькин
567;98;77;70;75;15;86;свистулькин
569;98;72;3;86;68;87;
570;98;80;80;78;82;91;Patnic
571;98;1;85;73;51;78;
572;98;86;39;54;76;77;
574;98;0;0;0;0;0;
578;98;0;0;0;0;0;
580;98;72;60;3;62;75;
584;98;1;67;65;63;80;
585;98;78;79;73;45;74;Берендеи
586;98;53;79;74;39;94;
589;98;84;73;83;20;80;
597;98;0;0;0;0;0;
388;99;75;73;82;34;92;
390;99;74;97;92;85;91;
560;99;0;0;0;0;80;
561;99;73;86;82;89;79;
563;99;76;3;90;14;99;свистулькин
564;99;0;0;0;0;20;
566;99;75;81;77;84;80;
567;99;0;0;0;0;10;
570;99;70;10;72;85;84;
572;99;79;85;80;90;71;
575;99;70;84;71;91;81;
580;99;77;74;78;77;84;
584;99;89;76;97;66;78;пачкуля
586;99;77;89;53;28;70;
590;99;93;79;88;54;3;
379;100;82;94;97;23;97;Компрессик
380;100;32;86;97;39;98;
567;100;83;89;75;95;94;Patnic
569;100;81;71;84;40;78;
570;100;77;93;74;47;82;
572;100;87;74;54;14;79;
581;100;70;73;92;54;72;Берендеи
584;100;88;76;76;32;79;
585;100;0;0;0;0;0;
586;100;75;88;75;15;88;
591;100;69;15;94;79;90;
382;101;76;89;93;75;93;Ковырялкин
383;101;58;76;50;65;90;
561;101;75;82;72;15;69;
566;101;83;93;87;59;87;mpasl
567;101;86;43;79;12;66;
569;101;69;72;72;17;78;свистулькин
570;101;75;1;73;62;78;
572;101;67;75;49;58;74;
573;101;91;96;61;43;73;
577;101;81;26;90;98;94;пачкуля
583;101;98;79;77;40;96;Берендеи
584;101;89;77;85;48;84;Берендеи
585;101;79;76;95;37;87;свистулькин
587;101;69;6;77;76;68;
588;101;92;1;89;34;91;
590;101;69;55;94;11;99;
591;101;73;71;84;55;92;
376;102;67;87;15;32;97;
382;102;0;0;0;0;80;
563;102;80;90;88;77;81;
565;102;91;60;21;19;97;свистулькин
568;102;75;76;83;33;72;свистулькин
570;102;87;5;72;17;87;
578;102;0;0;0;0;0;
588;102;82;77;82;66;93;Circus
594;102;68;62;67;64;89;
374;103;70;78;74;55;91;
395;103;66;71;55;32;94;
397;103;79;74;98;74;96;
558;103;94;91;71;2;94;
559;103;83;74;80;36;82;
563;103;0;0;0;0;0;
564;103;70;30;78;85;78;
565;103;81;74;30;32;96;
566;103;71;68;67;53;79;
569;103;87;73;85;58;77;
570;103;95;71;72;28;79;свистулькин
571;103;69;76;84;27;69;свистулькин
578;103;0;0;0;0;0;
583;103;3;83;79;16;72;
585;103;0;0;0;0;0;
588;103;83;95;75;14;84;
593;103;44;87;76;60;96;
595;103;0;0;0;0;70;
596;103;88;76;77;6;99;
597;103;4;24;91;78;88;
383;104;73;77;27;41;91;
397;104;20;71;97;20;95;Компрессик
399;104;87;82;8;78;99;
560;104;82;13;68;44;73;
561;104;72;83;12;29;61;
563;104;86;75;87;56;70;
569;104;99;11;70;43;73;
570;104;88;56;85;56;68;
571;104;83;12;69;32;83;
573;104;70;74;77;11;94;
575;104;99;85;66;59;84;
580;104;95;94;82;52;99;Circus
583;104;51;75;90;3;65;
584;104;55;71;84;39;84;
586;104;79;66;87;11;72;
587;104;88;95;73;25;97;Circus
589;104;76;73;80;42;88;
590;104;5;82;88;50;72;
592;104;91;75;89;88;82;
593;104;9;78;77;15;92;
598;104;17;80;64;79;78;
600;104;72;40;85;9;85;
367;105;85;76;61;84;92;
368;105;71;72;94;59;90;
381;105;21;92;16;19;91;
382;105;75;70;11;9;5;
383;105;74;87;7;29;25;
384;105;59;73;80;18;81;
398;105;66;70;61;22;98;Компрессик
559;105;77;71;5;18;87;
560;105;82;73;75;88;74;
562;105;81;70;72;8;76;
563;105;79;79;12;40;78;
564;105;70;81;81;38;74;mpasl
565;105;84;43;73;29;77;
566;105;78;24;62;19;78;
567;105;53;14;71;50;75;
568;105;92;12;59;96;76;
569;105;77;99;72;89;83;
570;105;70;7;6;86;73;
572;105;81;9;77;4;89;
578;105;88;82;91;44;78;
581;105;81;70;77;48;93;Circus
582;105;71;72;86;26;91;Пикачу
583;105;91;66;83;79;97;пачкуля
584;105;60;68;79;31;91;
585;105;72;85;80;42;73;
586;105;15;15;78;46;71;
589;105;10;83;37;48;87;
591;105;86;10;76;84;82;
593;105;88;68;99;74;71;
594;105;48;72;73;67;91;Тушканчик
595;105;75;97;82;52;83;Фугас-1
597;105;85;69;91;42;72;
374;106;38;84;83;64;80;
380;106;80;95;78;36;89;
381;106;14;98;26;63;96;Чеширский
397;106;81;83;17;30;99;
559;106;90;20;89;21;87;
560;106;90;88;71;89;88;
562;106;86;93;69;82;25;
563;106;81;75;91;15;11;
564;106;73;52;35;71;99;mpasl
565;106;61;68;78;55;77;mpasl
566;106;80;69;70;67;68;
567;106;78;12;81;33;20;
568;106;86;77;32;66;88;mpasl
569;106;90;32;96;38;75;
571;106;77;87;79;88;80;
575;106;73;59;82;46;87;
577;106;0;0;0;0;0;
579;106;78;85;92;52;76;
580;106;77;64;91;35;85;Circus
581;106;84;90;79;31;70;
582;106;80;71;97;49;86;
583;106;74;77;77;85;76;пачкуля
584;106;71;68;69;64;78;
586;106;33;65;84;75;81;
588;106;73;82;77;87;72;
589;106;60;96;72;75;99;Пикачу
590;106;4;95;57;35;79;
592;106;14;94;79;31;79;
593;106;81;48;79;61;87;
594;106;53;79;93;35;86;
597;106;70;79;92;58;93;Тушканчик
377;107;77;30;2;13;81;
379;107;76;78;73;54;71;
381;107;65;88;89;62;70;
382;107;75;77;37;26;13;
383;107;66;91;90;15;2;
387;107;55;74;93;78;82;
389;107;82;73;53;60;88;
390;107;5;88;19;97;81;
391;107;74;83;93;22;90;Компрессик
393;107;13;81;77;77;97;
398;107;97;83;71;70;91;
561;107;80;7;8;81;96;
562;107;95;5;76;52;82;
563;107;73;79;80;61;68;
564;107;85;84;83;49;92;mpasl
565;107;79;12;4;74;1;
566;107;94;67;77;49;79;mpasl
568;107;95;25;10;47;77;mpasl
571;107;47;74;17;33;13;
576;107;73;81;80;3;78;свистулькин
577;107;49;3;71;9;96;
582;107;3;82;83;53;79;
584;107;90;94;79;70;84;Circus
589;107;66;83;97;83;74;
590;107;40;70;88;90;87;
591;107;76;66;75;44;76;Фугас-1
592;107;14;62;73;91;78;
593;107;87;99;94;18;72;
597;107;75;64;94;59;85;
372;108;85;89;76;19;82;
374;108;19;80;53;71;90;Ковырялкин
375;108;6;86;77;39;87;
376;108;51;84;6;28;82;
377;108;1;73;86;63;89;
378;108;83;86;91;35;97;
379;108;62;71;1;17;70;
380;108;81;82;57;48;72;
381;108;84;88;74;56;88;
382;108;77;78;78;17;77;Компрессик
383;108;73;20;62;22;74;Компрессик
384;108;66;77;72;29;98;Компрессик
387;108;78;70;76;73;95;Чеширский
388;108;70;78;82;85;83;
394;108;81;68;70;67;90;
400;108;81;81;81;32;99;
557;108;81;87;73;55;97;
562;108;73;71;74;53;83;mpasl
563;108;79;10;78;72;69;
564;108;77;2;84;89;81;
566;108;81;50;65;64;74;mpasl
567;108;92;65;85;89;87;
569;108;84;21;98;94;83;
572;108;73;85;74;30;81;
575;108;89;73;73;49;74;
576;108;4;86;61;26;99;
578;108;93;95;85;44;82;
585;108;79;76;73;48;72;Circus
587;108;87;79;69;8;72;
589;108;24;82;74;23;77;
590;108;76;69;76;11;76;
591;108;79;80;80;14;84;Фугас-1
592;108;68;74;82;43;77;
593;108;82;71;88;24;82;Фугас-1
594;108;34;54;78;73;85;
597;108;20;74;84;40;18;
646;108;0;0;0;0;10;
366;109;70;87;12;34;81;
368;109;8;78;28;7;95;
373;109;83;89;90;24;86;
375;109;76;99;73;79;92;Ковырялкин
380;109;91;93;94;7;70;Компрессик
381;109;81;62;3;64;86;
383;109;70;63;86;83;72;Ковырялкин
388;109;0;0;0;0;0;
389;109;81;78;51;85;5;
390;109;69;74;81;96;82;
391;109;65;90;84;65;98;
392;109;0;0;0;0;0;
397;109;80;85;9;44;91;
399;109;79;92;95;58;95;
566;109;93;69;79;51;87;mpasl
571;109;83;76;69;95;87;
578;109;81;11;94;37;87;
580;109;78;66;85;35;73;
585;109;10;21;45;91;86;пачкуля
586;109;86;26;79;53;79;
590;109;75;93;71;59;82;
591;109;1;65;75;68;91;
593;109;70;28;80;12;81;
594;109;87;79;94;33;85;
596;109;16;96;77;76;94;
598;109;58;1;74;35;84;Карандаш
376;110;69;91;94;27;1;
377;110;60;77;71;82;77;Ковырялкин
381;110;72;78;68;66;83;
394;110;0;0;0;0;70;
395;110;85;82;78;28;9;
560;110;80;26;99;89;82;пачкуля
562;110;85;76;76;2;15;
564;110;84;11;87;42;94;
567;110;96;70;76;36;77;
568;110;72;77;2;33;71;
569;110;78;18;69;94;96;
573;110;96;94;88;48;99;
575;110;74;20;2;77;90;пачкуля
582;110;34;77;78;54;74;
586;110;81;74;77;11;88;
588;110;75;52;68;12;88;
589;110;69;71;79;74;71;
590;110;73;82;89;61;83;
594;110;82;22;66;83;5;
595;110;71;46;39;77;91;Тушканчик
596;110;15;2;69;71;81;
597;110;68;81;89;41;99;Карандаш
599;110;1;81;84;39;84;
601;110;0;0;0;0;90;Тушканчик
373;111;5;74;86;34;83;
375;111;6;83;88;67;88;
376;111;80;86;89;31;91;
380;111;77;83;71;52;77;
382;111;32;63;9;30;24;
385;111;73;84;81;58;84;
387;111;75;72;71;45;82;
394;111;14;78;74;61;92;
395;111;97;74;80;95;90;
547;111;69;76;83;80;95;
549;111;46;84;79;44;91;
556;111;77;13;80;49;93;
558;111;86;86;87;12;81;
561;111;72;75;71;44;84;
563;111;75;73;6;3;74;
564;111;58;97;77;35;82;
565;111;89;71;81;78;88;
566;111;0;0;0;0;0;
568;111;76;73;16;40;74;
571;111;0;0;0;0;0;
577;111;14;73;91;82;84;пачкуля
581;111;90;88;72;47;85;
584;111;97;90;82;48;72;
589;111;9;70;74;45;81;
592;111;76;65;68;79;81;Тушканчик
593;111;39;76;95;49;67;
594;111;82;79;91;18;76;
595;111;83;72;72;32;75;
596;111;14;81;97;91;86;пачкуля
597;111;58;60;69;22;77;
598;111;73;7;85;37;87;Карандаш
599;111;77;42;73;62;97;
602;111;0;0;0;0;80;Карандаш
366;112;0;0;0;0;70;
374;112;76;97;78;29;87;
377;112;71;76;77;70;92;Ковырялкин
380;112;96;81;14;72;82;Чеширский
381;112;81;85;29;64;83;Чеширский
383;112;82;90;69;49;81;
385;112;10;74;94;21;88;
388;112;66;98;84;57;91;
389;112;89;78;1;69;93;
543;112;0;0;0;0;80;
548;112;0;0;0;0;80;
563;112;76;75;82;24;90;карасик
564;112;89;62;91;64;72;
566;112;67;73;59;49;85;
568;112;98;88;79;56;73;
569;112;69;74;78;16;86;
571;112;95;75;29;14;90;
577;112;72;78;68;63;86;пачкуля
584;112;65;86;83;85;80;
587;112;92;74;72;91;84;
588;112;82;78;93;48;81;Пикачу
590;112;72;75;69;43;6;
591;112;71;84;76;88;5;
594;112;87;95;77;31;78;
595;112;83;77;68;25;98;Пикачу
596;112;69;71;75;60;85;Тушканчик
598;112;74;74;85;21;82;
599;112;53;70;77;62;10;
370;113;0;0;0;0;80;
371;113;75;66;97;3;85;
380;113;78;60;71;83;72;Чеширский
386;113;71;65;70;67;81;
392;113;60;71;82;34;90;Голос Правды
559;113;77;74;14;54;98;
