x;y;o;e;m;t;s;
79;17;75;78;70;73;73;
288;17;71;62;75;35;75;
439;17;77;71;68;37;70;
556;17;79;79;73;68;73;
559;17;77;75;74;69;71;
605;17;75;79;71;50;76;
637;17;73;77;71;68;75;
645;17;76;72;72;89;73;
698;17;78;60;76;80;71;
807;17;79;73;78;92;75;
984;17;79;70;79;54;74;
38;18;76;72;68;38;79;
72;18;79;79;74;5;78;
75;18;73;72;77;46;74;
221;18;70;67;76;58;77;
307;18;72;73;69;80;71;
344;18;75;70;79;13;72;
357;18;72;72;75;28;78;
363;18;75;77;76;2;72;
389;18;78;68;73;32;75;
479;18;70;78;75;47;72;
485;18;79;70;75;11;76;
582;18;79;77;60;69;72;
591;18;71;77;77;71;72;
603;18;70;76;79;76;70;
788;18;67;69;77;6;71;
834;18;78;71;65;61;75;
842;18;72;73;75;95;75;
924;18;76;79;73;34;71;
67;19;78;74;78;93;75;
79;19;71;74;63;38;78;
170;19;78;63;66;59;75;
418;19;70;76;69;54;79;
506;19;72;79;61;11;71;
583;19;73;77;67;86;73;
790;19;76;72;77;35;76;
56;20;78;66;76;22;73;
208;20;78;69;77;24;75;
319;20;79;63;75;3;76;
351;20;77;79;74;16;74;
464;20;72;72;61;65;77;
467;20;79;78;75;95;72;
524;20;75;78;79;88;73;
578;20;78;75;72;68;76;
597;20;74;73;61;39;79;
799;20;70;79;72;30;74;
825;20;71;78;68;84;76;
840;20;72;65;76;17;78;
863;20;74;79;79;55;76;
876;20;77;74;79;76;70;
969;20;77;74;72;16;73;
27;21;79;73;75;47;76;
56;21;71;76;66;12;79;
187;21;78;75;75;99;79;
210;21;75;71;77;88;74;
322;21;78;70;79;48;78;
409;21;74;75;68;46;76;
537;21;73;75;61;53;72;
587;21;79;72;70;78;73;
717;21;74;76;75;41;72;
726;21;70;63;73;56;71;
894;21;71;70;79;98;78;
944;21;72;72;73;16;76;
220;22;77;79;78;74;74;
247;22;75;72;78;61;72;
262;22;71;71;79;49;75;
263;22;0;0;0;0;70;
573;22;73;75;72;93;73;
747;22;74;72;73;29;70;
836;22;73;67;69;21;77;
859;22;76;79;78;63;70;
870;22;77;78;76;81;79;
907;22;72;76;77;83;76;
910;22;78;69;76;4;72;
995;22;71;75;76;31;72;
73;23;76;72;77;20;71;
124;23;70;69;70;55;70;
181;23;73;76;75;89;74;
199;23;75;72;70;83;79;
230;23;75;76;60;21;76;
233;23;77;70;75;60;76;
370;23;77;66;73;59;71;
439;23;78;77;76;37;78;
536;23;73;71;76;46;72;
550;23;76;75;75;27;77;
562;23;78;73;76;22;74;
568;23;74;60;79;53;70;
583;23;75;69;75;87;72;
615;23;79;76;72;17;76;
864;23;79;72;72;70;74;
915;23;71;78;78;24;79;
961;23;74;74;78;71;73;
965;23;78;75;70;35;74;
14;24;76;63;79;50;74;
54;24;78;69;68;39;73;
69;24;70;77;78;89;77;
82;24;72;73;71;53;77;
85;24;73;73;79;65;70;
94;24;75;69;60;77;76;
162;24;77;72;75;31;75;
262;24;78;74;76;95;78;
360;24;77;72;71;60;70;
392;24;78;79;77;13;71;
591;24;79;69;68;23;71;
616;24;72;62;77;18;71;
671;24;79;72;74;24;72;
766;24;72;69;71;23;71;
832;24;70;73;76;82;72;
867;24;72;72;77;59;73;
958;24;77;78;63;33;77;
965;24;72;71;77;8;74;
54;25;72;67;71;59;79;
58;25;77;71;64;20;73;
81;25;79;65;70;34;79;
256;25;79;71;71;2;72;
343;25;73;79;63;55;76;
376;25;71;69;76;41;73;
432;25;77;76;70;88;74;
455;25;78;72;75;25;75;
466;25;77;71;76;53;71;
640;25;70;74;60;9;72;
664;25;77;79;70;9;75;
709;25;77;78;79;83;74;
863;25;73;72;74;81;71;
878;25;70;76;70;85;74;
931;25;77;77;71;70;75;
961;25;73;76;78;91;74;
991;25;74;77;79;45;70;
43;26;72;73;74;97;70;
86;26;76;79;68;15;75;
104;26;70;62;77;14;79;
157;26;73;78;78;27;73;
190;26;73;74;68;56;79;
356;26;77;73;77;26;72;
449;26;76;76;79;46;73;
552;26;76;78;72;53;79;
558;26;71;69;65;13;76;
562;26;76;78;74;51;71;
583;26;79;73;72;29;72;
605;26;72;78;78;59;70;
633;26;78;67;61;80;77;
644;26;76;74;62;37;70;
677;26;79;72;70;55;72;
837;26;73;71;70;57;78;
841;26;73;69;72;49;78;
942;26;77;78;71;17;78;
963;26;70;70;78;8;74;
72;27;74;77;76;90;75;
120;27;77;70;77;69;79;
172;27;70;72;78;76;76;
237;27;79;69;77;32;76;
329;27;77;78;68;71;78;
554;27;78;74;76;24;78;
578;27;76;67;63;22;77;
644;27;71;70;78;87;74;
733;27;70;73;79;83;73;
775;27;78;60;75;8;70;
840;27;72;76;68;38;70;
923;27;76;76;75;39;70;
65;28;79;75;72;45;70;
68;28;78;69;67;85;79;
85;28;72;78;79;83;72;
92;28;77;77;71;78;76;
323;28;74;73;71;94;72;
357;28;76;68;78;29;77;
359;28;75;75;75;11;73;
458;28;75;63;79;26;76;
514;28;79;68;71;40;75;
545;28;76;67;74;18;78;
547;28;77;71;75;66;72;
580;28;62;75;73;5;76;
871;28;75;77;75;72;73;
883;28;79;73;71;15;71;
902;28;75;78;76;18;78;
925;28;74;69;71;5;72;
938;28;75;75;72;91;76;
327;29;72;73;76;36;71;
354;29;74;77;78;73;74;
399;29;71;71;70;84;79;
416;29;79;73;78;66;74;
458;29;75;72;73;54;73;
507;29;75;65;63;77;74;
530;29;71;70;66;14;77;
532;29;78;62;75;14;76;
630;29;76;74;68;7;74;
679;29;76;73;66;84;75;
693;29;70;75;65;64;75;
726;29;73;73;67;37;70;
730;29;75;79;71;1;75;
849;29;78;77;62;37;71;
888;29;74;75;72;38;73;
968;29;74;75;72;35;76;
77;30;76;75;66;69;73;
160;30;70;73;77;39;74;
202;30;72;77;70;26;79;
238;30;77;75;72;2;73;
321;30;79;76;79;55;77;
401;30;79;65;77;29;75;
406;30;77;76;74;75;76;
407;30;78;74;76;57;75;
451;30;72;73;67;68;72;
566;30;73;67;78;36;79;
598;30;71;77;64;53;77;
605;30;72;67;78;21;78;
681;30;76;75;67;43;74;
695;30;71;66;72;26;72;
786;30;77;75;70;34;73;
818;30;79;68;68;7;79;
883;30;79;74;76;69;74;
921;30;75;77;79;42;73;
954;30;73;75;71;50;70;
187;31;73;73;72;51;74;
199;31;79;69;78;83;78;
259;31;71;77;74;5;70;
343;31;71;74;71;29;71;
403;31;71;77;69;95;70;
547;31;79;72;70;17;74;
645;31;71;76;69;61;72;
659;31;74;71;78;80;72;
758;31;72;74;78;89;72;
793;31;77;73;77;87;77;
801;31;78;71;73;51;77;
854;31;72;70;60;9;71;
893;31;79;72;70;49;78;
9;32;77;77;74;97;79;
67;32;75;79;72;60;78;
114;32;73;75;75;54;70;
186;32;78;78;73;90;76;
280;32;78;69;79;40;74;
429;32;76;72;66;33;70;
432;32;77;68;71;5;75;
452;32;76;73;77;18;79;
538;32;70;77;70;16;76;
559;32;78;78;70;10;71;
621;32;74;79;78;31;72;
655;32;78;76;72;50;72;
673;32;74;75;74;32;74;
692;32;75;78;70;89;72;
707;32;79;73;72;72;71;
740;32;76;79;78;4;78;
785;32;74;73;79;76;78;
919;32;77;67;77;68;75;
80;33;70;76;74;41;72;
95;33;71;79;71;20;75;
157;33;78;77;70;20;77;
316;33;72;79;71;20;78;
414;33;78;65;75;41;75;
434;33;74;70;76;52;79;
470;33;71;74;78;52;72;
698;33;73;75;62;14;73;
744;33;75;72;69;76;72;
913;33;70;70;71;59;70;
931;33;78;76;69;71;74;
91;34;74;71;75;73;71;
118;34;77;77;77;72;71;
182;34;74;74;77;48;71;
227;34;77;71;70;13;71;
266;34;78;81;81;22;3;
305;34;79;77;78;74;72;
376;34;73;70;75;44;74;
400;34;72;76;73;62;72;
848;34;70;78;71;86;73;
891;34;78;70;67;43;79;
905;34;79;66;71;53;74;
77;35;74;64;73;20;76;
131;35;70;70;69;37;77;
266;35;88;76;89;44;68;
267;35;94;63;9;61;86;
294;35;77;68;72;56;73;
326;35;74;79;75;89;76;
378;35;79;75;69;24;72;
414;35;73;77;70;31;79;
565;35;71;71;73;20;70;
661;35;79;79;69;89;78;
798;35;77;76;69;17;73;
870;35;75;76;79;57;77;
958;35;77;66;72;93;71;
129;36;70;72;61;68;70;
257;36;71;92;85;56;91;
265;36;91;76;64;33;88;
266;36;83;81;78;16;4;
267;36;87;77;25;85;71;
298;36;72;65;74;10;74;
425;36;79;74;69;97;75;
844;36;79;75;70;29;70;
900;36;79;71;72;90;76;
905;36;73;73;74;71;74;
918;36;78;79;72;79;74;
966;36;76;76;61;45;75;
17;37;78;62;78;53;74;
69;37;75;70;68;15;76;
100;37;74;74;75;9;73;
103;37;76;74;66;42;75;
202;37;74;64;76;63;73;
261;37;96;90;74;47;44;
262;37;84;84;99;70;70;
263;37;78;62;78;79;72;
265;37;79;83;83;2;89;
266;37;93;80;75;39;73;
267;37;76;78;39;41;71;
283;37;70;63;69;47;74;
346;37;69;61;79;9;74;
377;37;77;71;72;72;73;
456;37;74;67;79;32;79;
600;37;66;62;75;10;70;
673;37;73;72;75;46;76;
742;37;76;71;77;39;76;
811;37;77;66;73;81;73;
851;37;77;69;74;29;76;
865;37;75;74;79;41;70;
866;37;76;74;69;57;73;
9;38;72;74;71;89;75;
95;38;70;76;61;81;70;
97;38;74;76;79;19;72;
242;38;73;69;79;89;72;
259;38;84;90;85;35;92;
260;38;73;65;52;32;94;
261;38;78;85;86;38;76;
262;38;92;84;80;20;96;
263;38;72;71;79;89;71;
265;38;79;12;81;84;7;
266;38;73;77;58;29;78;
267;38;72;72;73;14;75;
268;38;86;72;88;24;77;
283;38;72;71;74;64;75;
322;38;78;78;73;50;78;
323;38;73;74;72;72;71;
346;38;60;75;73;2;78;
524;38;78;75;70;88;76;
526;38;75;70;65;42;77;
535;38;79;78;76;86;70;
597;38;73;75;70;93;73;
599;38;73;69;65;39;70;
699;38;79;72;70;42;76;
736;38;74;75;68;74;78;
873;38;74;78;75;73;75;
69;39;79;78;75;30;73;
239;39;76;72;72;9;78;
259;39;70;86;9;8;4;
260;39;76;58;65;50;72;
261;39;92;96;70;3;71;
262;39;92;66;73;42;79;
263;39;65;38;74;6;72;
264;39;88;76;1;23;73;
265;39;4;91;80;13;68;
266;39;71;71;83;38;74;
267;39;86;72;82;33;67;
268;39;93;7;50;28;69;
269;39;74;90;63;65;86;
354;39;75;63;72;75;72;
390;39;70;73;74;24;73;
402;39;76;71;76;40;77;
406;39;75;78;69;59;72;
435;39;77;77;72;80;71;
536;39;73;77;71;80;74;
543;39;72;69;72;63;70;
554;39;78;79;72;62;78;
566;39;72;79;71;17;75;
610;39;74;70;74;93;76;
669;39;70;75;78;92;73;
795;39;71;77;77;1;76;
804;39;76;71;75;41;78;
920;39;76;77;64;34;70;
963;39;73;78;68;86;73;
206;40;74;79;70;53;72;
209;40;70;68;77;63;74;
259;40;74;72;89;49;75;
261;40;66;71;59;87;68;
262;40;86;80;72;25;72;
263;40;83;75;86;27;90;
264;40;82;72;85;95;74;
265;40;92;80;44;79;76;
266;40;62;79;9;31;81;
267;40;97;76;82;50;99;
268;40;69;31;67;50;77;
269;40;76;81;73;54;74;
446;40;75;72;75;44;70;
566;40;76;77;79;51;76;
594;40;79;70;70;65;73;
603;40;70;73;75;56;75;
613;40;77;64;69;71;79;
621;40;74;74;71;86;75;
705;40;77;70;78;58;71;
729;40;74;61;73;90;78;
793;40;76;71;73;80;74;
889;40;77;75;78;6;79;
905;40;72;64;74;52;79;
909;40;79;78;66;16;73;
937;40;70;69;76;64;75;
955;40;78;75;78;72;79;
15;41;76;75;69;18;73;
197;41;76;74;69;60;77;
259;41;72;21;92;5;68;
260;41;74;1;90;29;78;
261;41;79;84;88;40;72;
262;41;90;99;4;43;95;
264;41;71;55;58;1;72;
266;41;74;68;48;29;80;
267;41;73;76;67;53;9;
269;41;66;11;36;66;67;
270;41;92;93;66;78;70;
369;41;74;75;74;78;73;
470;41;72;78;76;90;76;
584;41;70;74;66;98;70;
638;41;74;77;69;63;72;
745;41;77;76;65;47;74;
773;41;70;77;78;81;72;
796;41;75;72;78;19;76;
866;41;71;67;64;93;73;
924;41;73;68;75;37;71;
992;41;76;71;79;80;71;
133;42;78;77;68;94;77;
182;42;75;67;74;74;79;
194;42;79;76;78;27;72;
259;42;56;11;69;30;74;
260;42;79;15;80;34;1;
261;42;72;77;24;7;72;
262;42;81;88;77;13;84;
264;42;76;85;83;22;70;
265;42;71;83;86;66;19;
266;42;88;75;81;49;13;
268;42;73;85;81;57;74;
269;42;97;88;9;51;76;
378;42;75;69;71;74;76;
570;42;76;72;78;32;71;
588;42;75;77;73;56;77;
730;42;72;69;76;10;73;
865;42;76;77;75;68;73;
914;42;76;71;69;31;71;
917;42;73;73;76;59;72;
918;42;77;76;75;55;79;
925;42;73;70;63;65;75;
929;42;78;68;65;17;79;
21;43;76;72;77;93;74;
72;43;69;68;73;10;76;
113;43;78;72;78;11;70;
118;43;76;73;74;28;70;
259;43;88;43;83;50;81;
260;43;17;74;73;50;72;
264;43;75;84;75;8;65;
265;43;78;80;81;72;82;
266;43;73;6;89;94;74;
267;43;87;77;82;77;70;
268;43;66;73;75;36;79;
270;43;79;84;74;98;89;
296;43;78;72;77;11;76;
305;43;70;75;61;65;73;
306;43;76;69;76;29;73;
473;43;70;77;70;6;78;
674;43;79;71;73;64;76;
692;43;71;74;79;38;74;
811;43;78;65;78;9;72;
870;43;60;72;77;11;75;
961;43;75;63;69;12;77;
970;43;76;72;68;25;76;
41;44;71;69;76;73;71;
89;44;77;74;72;7;73;
263;44;86;5;70;32;90;
264;44;87;87;42;77;77;
265;44;99;53;81;58;77;
267;44;79;98;80;13;69;
268;44;80;92;88;65;76;
332;44;76;79;73;82;79;
637;44;75;65;72;50;75;
808;44;79;79;77;60;78;
863;44;79;73;71;26;76;
910;44;79;69;70;27;72;
915;44;79;68;72;52;72;
974;44;78;74;72;76;70;
5;45;77;72;75;60;79;
32;45;73;73;73;59;72;
70;45;71;71;71;16;73;
131;45;77;78;75;56;75;
192;45;72;69;73;42;78;
263;45;79;68;75;43;89;
264;45;88;88;88;60;97;
269;45;81;85;73;35;87;
307;45;76;72;69;30;75;
365;45;77;74;69;73;76;
415;45;75;79;60;42;72;
546;45;75;75;71;80;79;
893;45;72;79;70;34;75;
895;45;75;78;76;42;72;
931;45;73;76;77;24;76;
7;46;77;77;73;34;79;
149;46;72;78;78;58;72;
181;46;71;74;77;59;72;
189;46;77;69;72;66;73;
264;46;89;65;80;41;93;
265;46;32;78;83;77;89;
266;46;92;4;9;93;79;
269;46;96;73;70;38;70;
270;46;70;63;5;18;78;
287;46;75;72;71;84;71;
396;46;74;76;72;27;73;
427;46;73;74;75;44;70;
538;46;73;78;79;76;77;
586;46;70;75;68;59;75;
627;46;78;69;74;36;79;
775;46;74;74;78;51;77;
211;47;67;62;77;2;71;
317;47;70;70;72;97;74;
322;47;77;74;73;10;71;
326;47;71;73;78;32;72;
537;47;74;70;77;58;73;
557;47;78;73;78;60;77;
579;47;78;64;65;44;74;
622;47;79;79;73;8;73;
651;47;75;77;73;32;79;
655;47;75;71;76;94;71;
660;47;78;70;78;78;74;
743;47;79;75;78;46;74;
118;48;77;73;76;48;79;
153;48;77;74;69;76;77;
263;48;76;72;70;57;73;
267;48;77;78;68;91;90;
269;48;78;97;69;33;90;
303;48;75;75;77;63;73;
426;48;71;76;79;74;71;
555;48;77;72;73;93;76;
557;48;74;72;74;24;75;
646;48;79;79;75;69;73;
877;48;71;66;72;78;72;
936;48;77;77;79;56;73;
124;49;79;70;72;82;79;
236;49;76;78;74;58;71;
243;49;71;75;67;47;70;
263;49;74;70;75;54;72;
264;49;79;70;73;64;74;
295;49;76;78;62;37;71;
439;49;74;71;75;95;77;
939;49;71;73;79;81;70;
961;49;77;67;79;87;78;
62;50;74;71;70;37;72;
67;50;74;77;77;20;76;
190;50;70;70;77;70;71;
214;50;70;67;72;79;78;
289;50;72;74;70;60;73;
325;50;79;69;73;19;77;
407;50;76;73;71;21;77;
466;50;70;70;73;56;79;
593;50;70;75;71;22;71;
597;50;78;73;76;2;71;
747;50;70;72;66;66;76;
779;50;75;71;67;19;72;
890;50;73;75;74;19;70;
932;50;75;79;77;24;72;
935;50;76;79;73;35;71;
973;50;79;76;76;89;74;
992;50;79;75;75;48;74;
142;51;78;72;62;64;73;
159;51;72;72;76;67;73;
251;51;75;64;79;31;73;
292;51;78;72;75;20;74;
301;51;72;74;77;33;75;
330;51;71;79;75;59;73;
445;51;76;70;77;42;76;
471;51;72;73;72;34;71;
632;51;73;68;75;30;78;
681;51;71;75;76;57;78;
682;51;78;73;72;58;76;
874;51;79;74;75;13;79;
899;51;69;74;72;13;72;
940;51;77;72;75;42;70;
955;51;77;75;64;47;76;
990;51;74;77;78;26;74;
8;52;72;74;70;60;78;
19;52;72;77;72;33;79;
92;52;73;75;79;26;77;
116;52;78;75;71;29;77;
136;52;75;75;76;9;75;
194;52;78;69;68;46;76;
501;52;76;68;73;49;73;
514;52;76;75;71;73;73;
577;52;79;74;70;70;75;
711;52;71;78;79;17;71;
778;52;70;70;79;92;77;
787;52;72;69;75;27;77;
877;52;74;67;73;71;71;
3;53;79;70;75;37;75;
36;53;76;72;74;51;75;
116;53;76;71;67;76;77;
123;53;73;71;69;56;78;
318;53;79;78;75;91;79;
319;53;63;77;73;11;78;
443;53;75;78;79;50;76;
542;53;73;79;67;56;77;
567;53;78;76;68;74;77;
723;53;76;63;77;66;71;
787;53;77;72;70;21;75;
874;53;79;72;73;17;79;
877;53;78;78;71;53;75;
898;53;76;71;67;75;78;
939;53;70;79;67;36;79;
73;54;75;75;76;10;72;
159;54;74;77;75;39;78;
188;54;73;63;67;96;78;
200;54;76;74;69;30;70;
210;54;73;71;79;74;74;
321;54;79;76;74;34;73;
334;54;73;62;74;16;74;
554;54;77;66;69;28;74;
652;54;63;75;79;31;72;
758;54;71;73;73;74;76;
791;54;71;72;76;76;74;
810;54;70;78;79;70;76;
834;54;74;79;70;50;76;
848;54;77;71;73;23;78;
907;54;73;78;72;83;74;
912;54;74;73;70;27;78;
36;55;75;69;75;14;75;
89;55;72;77;70;79;76;
167;55;76;74;61;23;75;
187;55;78;69;71;91;73;
229;55;70;64;79;40;74;
407;55;75;79;79;39;76;
449;55;70;78;66;11;76;
453;55;77;77;75;16;78;
455;55;75;79;69;65;76;
823;55;76;73;79;55;73;
834;55;70;76;70;34;75;
963;55;79;70;78;34;70;
12;56;78;74;79;41;78;
63;56;76;72;72;34;79;
70;56;74;72;73;21;71;
137;56;69;79;71;26;77;
156;56;77;76;79;31;77;
224;56;78;77;68;80;71;
323;56;78;61;79;36;79;
328;56;79;78;64;32;74;
447;56;71;79;75;37;70;
558;56;74;71;77;75;72;
670;56;74;74;61;61;74;
812;56;75;71;71;7;78;
824;56;73;69;75;52;77;
4;57;71;69;76;66;76;
156;57;76;74;75;85;74;
227;57;76;74;79;79;79;
320;57;72;78;76;96;73;
404;57;78;75;68;23;78;
550;57;71;73;74;36;76;
579;57;73;71;73;19;79;
646;57;72;74;74;87;71;
760;57;72;79;71;46;75;
918;57;75;71;79;90;72;
924;57;75;77;72;36;79;
958;57;71;72;71;72;77;
7;58;71;72;72;4;76;
98;58;75;78;79;92;79;
119;58;79;71;68;84;75;
144;58;76;70;77;81;73;
302;58;77;74;77;93;72;
334;58;71;73;76;89;73;
450;58;79;74;70;4;76;
475;58;78;75;75;52;70;
481;58;72;72;78;85;79;
519;58;71;76;74;45;78;
526;58;72;60;67;22;76;
532;58;76;69;66;84;77;
624;58;75;74;61;24;75;
668;58;73;77;72;77;76;
680;58;78;75;79;71;77;
684;58;72;77;77;19;75;
42;59;79;79;76;11;78;
90;59;68;73;70;38;73;
198;59;73;67;74;96;78;
275;59;0;0;0;0;80;
318;59;72;78;77;90;72;
330;59;75;78;77;61;70;
375;59;71;77;78;82;74;
436;59;72;73;79;57;70;
473;59;78;73;78;75;74;
484;59;75;67;79;12;72;
629;59;75;78;78;6;75;
670;59;74;70;78;59;71;
685;59;74;75;64;42;76;
709;59;77;71;76;50;76;
721;59;73;73;78;51;71;
737;59;79;79;76;32;71;
772;59;76;67;76;12;79;
787;59;72;76;70;87;78;
896;59;77;73;79;16;79;
913;59;74;68;78;61;74;
928;59;75;70;67;24;79;
93;60;72;68;75;14;78;
